(0.9316709987513327, 1.2731427020126196)
(6.794118279279948, 34.23908905926898)
(49.50675620955584, 38.32091946299251)
(93.39370320071099, 86.29338899265413)
(71.67926209651031, 65.8603144684923)
(70.44403256509808, 98.2830987236456)
(10.235209889408347, 64.76668373106749)
(35.43543456397595, 18.81270294568731)
(90.77601655298831, 97.64709087490684)
(65.503709964915, 39.76573234508489)
(26.585881415629043, 49.18411700461805)
(52.43940546249692, 64.7537897316385)
(54.029056333582716, 28.61126850560002)
(18.399384765401884, 49.20797036126847)
(94.94000398959935, 8.248812623729373)
(32.66066971065601, 18.121591452663978)
(59.754638465213525, 36.970284799040975)
(18.60418075663013, 46.45705753564899)
(50.540920985560234, 85.53630634382517)
(87.0886396578945, 69.35856623731246)
(96.62235122770281, 51.92376341300399)
(57.47258296344422, 74.5662972903067)
(57.14795443720381, 79.09481490273706)
(30.76507783768162, 17.806632058764382)
(54.747572950802, 15.091585149392161)
(60.73336436343294, 93.43680681985816)
(62.32139660757755, 75.90881967017185)
(28.268363335383462, 87.25139816775972)
(51.04786938931611, 55.288162692894225)
(61.90657697438348, 36.11186178737732)
(21.854198728060116, 62.39416860462451)
(63.12962381772993, 19.93928705040696)
(84.87891661433501, 58.27350540299284)
(88.91025282941912, 15.614461265934022)
(21.866041633289456, 5.065274747880744)
(15.946393084447452, 49.45817999591754)
(64.96560080610479, 38.121726336481366)
(61.12240857648546, 95.21871564967873)
(52.07536759320891, 20.515083737098514)
(60.959393280394, 77.87221526149017)
(73.64389753276873, 41.84760530715593)
(19.164022317185903, 60.04571427511036)
(8.765023051383046, 78.84838185909028)
(15.858085982545278, 7.5013756446798645)
(59.42918562580102, 43.931820671762445)
(34.66855481494762, 52.87446430058491)
(30.957128078593897, 9.70912234220137)
(4.580593535342203, 2.7364504920506127)
(73.92657960991149, 12.385510587523186)
(72.3036903930412, 62.05856280010853)
(98.31280064418566, 5.042358546741898)
(17.873650494968285, 82.28004397217497)
(94.09893952353458, 52.99474588294218)
(1.310891259119018, 74.43918393371773)
(44.272353749342464, 37.73142822175484)
(81.3781664394993, 67.20422730776697)
(95.90817859552588, 63.38556411134309)
(78.82839512825376, 31.145045385664673)
(62.9516091709869, 40.25099313529682)
(66.00607565171282, 35.21545985635359)
(70.34547769528939, 53.550198337845025)
(52.26329085933548, 49.1699545591617)
(13.309919783451585, 12.476596872465995)
(0.3740437556296383, 56.51742665316123)
(97.86602776701685, 14.475089879526914)
(52.9782893108217, 96.61857413198697)
(49.10556581329508, 52.79131456097287)
(70.05970159816775, 11.662374837313061)
(22.24397994577818, 41.51135505733116)
(78.55882636587303, 34.51102012769249)
(28.154116249356775, 31.630167004243315)
(13.44601296482596, 16.781633082858672)
(89.86313739435116, 44.12828996405045)
(85.92608180525603, 63.03692242096163)
(79.40539915673786, 51.60289458853345)
(48.919392031539786, 6.5858852798608485)
(45.459094635561414, 98.6905751113099)
(42.561620268445544, 35.14957796819278)
(31.35469968395148, 63.33572991643278)
(93.18721960993562, 50.525840118751596)
(0.32840237744675704, 25.89976619506279)
(8.109179121721377, 25.39081252575308)
(30.303807905245616, 31.172778689338486)
(55.48035397155843, 2.503950524626941)
(14.020421137707185, 99.54073805791809)
(43.61931319898189, 66.83718487226908)
(1.987555403908825, 67.87766939796104)
(17.406289033589317, 9.527753814176709)
(55.52743048888369, 18.173667342760325)
(70.70247115295942, 94.05814855234034)
(35.08143964176311, 82.47603589490232)
(33.218563887266896, 29.69551557918343)
(34.988680327527334, 96.41220377964437)
(27.856147072392602, 54.97680143275267)
(90.10599662733767, 10.37952991621134)
(10.26806676577382, 34.90474593411223)
(21.923983026297954, 57.42845508850316)
(96.23173053161467, 79.52385671502812)
(62.24350081135983, 19.931929861132968)
(54.401833707512225, 98.67426889655167)
The shortest distance is 0.8861535480109501 between the points (62.24350081135983, 19.931929861132968) and (63.12962381772993, 19.93928705040696)
Time spent on the divide-and-conquer algorithm is 14 milliseconds
static method for distance (both overloaded methods) test between (0,0) and (1,0), should be 1.0: 1.0
